t,freq,d21_err,d23_err,d24_err,d32_err,d34_err,d41_err,d42_err,d43_err,o_error
0.021,947.63,0.8285684009823986,1.8282856799225877,0.926182889345843,1.8282856799225877,1.1621828893458432,4.099039129403812,0.926182889345843,1.1621828893458432,2.0000998998793906
0.041,1050.38,0.8288512906296037,1.8280027902753826,0.9257717255072286,1.8280027902753826,1.1618348873117492,4.098902053041979,0.9257717255072286,1.1618348873117492,2.0002999530587244
0.06,1010.06,0.8301947856528216,1.826730071580874,0.9237163071663774,1.826730071580874,1.1606964918747606,4.098195977151689,0.9237163071663774,1.1606964918747606,2.0015001410575555
0.081,964.28,0.8319629125974335,1.8248917676980119,0.9206172457034132,1.8248917676980119,1.1590209380264929,4.0970788052624485,0.9206172457034132,1.1590209380264929,2.0032008629287454
0.1,2055.32,0.8343673038298007,1.8224879638340643,0.9168545519300371,1.8224879638340643,1.1568711507633127,4.095746884363829,0.9168545519300371,1.1568711507633127,2.005402186369625
0.12,994.36,0.8374085173728498,1.8194478976365813,0.911922236391856,1.8194478976365813,1.154058410107905,4.093926465454602,0.911922236391856,1.154058410107905,2.008105301571422
0.14,1020.64,0.8411569946467483,1.8157012436043516,0.9057569107397825,1.8157012436043516,1.150519485995705,4.091735524542441,0.9057569107397825,1.150519485995705,2.0114108122915577
0.16,1000.18,0.8455429093443105,1.8111068415601728,0.898738585581873,1.8111068415601728,1.1463176290939234,4.089332825360928,0.898738585581873,1.1463176290939234,2.015419144967401
0.18,1002.13,0.8506364415249674,1.806230282328475,0.8908042398764393,1.806230282328475,1.1418966926508802,4.086640718093028,0.8908042398764393,1.1418966926508802,2.019932819371127
0.2,1038.93,0.8560134206458665,1.800859222497821,0.8824914194716236,1.800859222497821,1.1368450436846205,4.083836854562307,0.8824914194716236,1.1368450436846205,2.024651238496892
0.22,1078.03,0.8625927696677382,1.794428390723092,0.8726940069639721,1.794428390723092,1.1309113808173787,4.080532892599193,0.8726940069639721,1.1309113808173787,2.0301816870262686
0.24,1015.22,0.8699521654289986,1.7869383247400035,0.8614127575722073,1.7869383247400035,1.123843118899797,4.076770405223957,0.8614127575722073,1.123843118899797,2.0366209764098833
0.26,1014.58,0.877876995151496,1.779024236754823,0.8499131928019654,1.779024236754823,1.11668266378105,4.073077083132647,0.8499131928019654,1.11668266378105,2.0432758820917765
0.28,984.71,0.8866509787855565,1.7702624958255266,0.8381977171231076,1.7702624958255266,1.109429720445088,4.069413417185154,0.8381977171231076,1.109429720445088,2.050549588262668
0.3,1121.63,0.8962032907222435,1.7607233003563763,0.8261411536643126,1.7607233003563763,1.1020199933036525,4.065898551437848,0.8261411536643126,1.1020199933036525,2.0583472026593865
0.32,958.36,0.9060364797183711,1.7506167441745637,0.8140621068815435,1.7506167441745637,1.0944869203351488,4.062100214328153,0.8140621068815435,1.0944869203351488,2.0660706272590477
