t,freq,d21_err,d23_err,d24_err,d32_err,d34_err,d41_err,d42_err,d43_err,o_error
11.261,611.78,0.052091403171889095,-0.05979187675445563,-0.06775476564461913,-0.05979187675445563,0.046586891043529643,0.1008820873893026,-0.06775476564461913,0.046586891043529643,0.253247791588166
11.281,1040.84,0.050784592667743045,-0.06284014283514028,-0.06723097738918238,-0.06284014283514028,0.04642297740332069,0.10276060358716554,-0.06723097738918238,0.04642297740332069,0.24818271975134085
11.301,1028.21,0.05041113881752057,-0.06521774018995485,-0.06533138954198581,-0.06521774018995485,0.04851035743237064,0.10476852022986183,-0.06533138954198581,0.04851035743237064,0.24520198396150042
11.32,1050.28,0.04886450632466044,-0.07034461523015156,-0.06342847347773128,-0.07034461523015156,0.04916207074035883,0.10936039043922463,-0.06342847347773128,0.04916207074035883,0.23586638311189748
11.34,991.15,0.04777692884703422,-0.07402990667179643,-0.061258614528776345,-0.07402990667179643,0.04953623971631016,0.114213466641512,-0.061258614528776345,0.04953623971631016,0.2284093939375338
11.36,1192.77,0.046028155206307986,-0.07753005207615749,-0.060368713358606385,-0.07753005207615749,0.04919707734321488,0.11876303557671797,-0.060368713358606385,0.04919707734321488,0.2208351996572817
11.38,926.89,0.04390387581440347,-0.08069853803384586,-0.05924222968243109,-0.08069853803384586,0.04924433845074416,0.12298430574504438,-0.05924222968243109,0.04924433845074416,0.21342859302860417
11.4,986.44,0.04217077966533944,-0.08323882372383817,-0.05756583050419595,-0.08323882372383817,0.04988540324615709,0.12686188379235896,-0.05756583050419595,0.04988540324615709,0.20680031767680318
11.42,1083.12,0.041100600241773755,-0.08573664058503205,-0.0567721771057168,-0.08573664058503205,0.04930526951810199,0.13055245625053757,-0.0567721771057168,0.04930526951810199,0.19998524443230944
11.441,925.5,0.04008988611548947,-0.08802258805307095,-0.055249065453421675,-0.08802258805307095,0.04932794215984515,0.13354805559147898,-0.055249065453421675,0.04932794215984515,0.19417340636320132
11.46,1033.03,0.039830089843980065,-0.09041636530994024,-0.05321255047061424,-0.09041636530994024,0.049319939319120376,0.13692298460553243,-0.05321255047061424,0.049319939319120376,0.18712345641315703
11.481,1028.03,0.039712540244311256,-0.09211229264185461,-0.05138696571832746,-0.09211229264185461,0.049229402398217825,0.13920215923668233,-0.05138696571832746,0.049229402398217825,0.18238595850531072
11.5,1062.64,0.03975281639134831,-0.09410833984279898,-0.049529286970629194,-0.09410833984279898,0.048711887647647334,0.14136380708314222,-0.049529286970629194,0.048711887647647334,0.17621095610456788
11.521,1022.21,0.040004782515155934,-0.09576408957827542,-0.04698241806654524,-0.09576408957827542,0.04981484960955829,0.14304964522726826,-0.04698241806654524,0.04981484960955829,0.17143334120728848
11.54,1051.31,0.03984206958103398,-0.09661820975936508,-0.0444844363304262,-0.09661820975936508,0.04988316344169963,0.14432341291608108,-0.0444844363304262,0.04988316344169963,0.1658644890867167
11.56,927.18,0.039090641912459034,-0.09739698277203401,-0.043598301730311206,-0.09739698277203401,0.04978071603681666,0.14510222568834918,-0.043598301730311206,0.04978071603681666,0.16127537931823713
11.58,1028.66,0.038837202542136406,-0.09722147854926655,-0.042655522973748194,-0.09722147854926655,0.04878054219370842,0.14602588200209432,-0.042655522973748194,0.04878054219370842,0.1570521810896314
11.6,1051.94,0.03745656238274053,-0.09696434100865159,-0.04166470358734209,-0.09696434100865159,0.04850108471061443,0.14693295543891183,-0.04166470358734209,0.04850108471061443,0.15288458360127646
11.62,959.59,0.03598324592279223,-0.09619447431362926,-0.0422072370383324,-0.09619447431362926,0.04643031434429856,0.14802155798775685,-0.0422072370383324,0.04643031434429856,0.1487743855723855
11.64,1068.7,0.03479166976161485,-0.0949232922501464,-0.041566573073529955,-0.0949232922501464,0.0453731708669336,0.14899431208378355,-0.041566573073529955,0.0453731708669336,0.14504627700673542
11.66,1021.46,0.03396669797557639,-0.093641843222669,-0.04114509342613504,-0.093641843222669,0.04383303438983832,0.14970314009586771,-0.04114509342613504,0.04383303438983832,0.14185020125952702
11.68,979.86,0.033516674000464874,-0.09195934048545407,-0.04057276757320771,-0.09195934048545407,0.04240702191896606,0.15002399926245724,-0.04057276757320771,0.04240702191896606,0.1390814159757875
11.7,948.83,0.033129720668215956,-0.09015303441644396,-0.039657746620078704,-0.09015303441644396,0.041500505464015625,0.14965210759545644,-0.039657746620078704,0.041500505464015625,0.13672162179643588
11.72,1037.59,0.03286369627862884,-0.08794104552314341,-0.03919920331008164,-0.08794104552314341,0.04011907702864281,0.14869792340781318,-0.03919920331008164,0.04011907702864281,0.1343133509060852
11.74,993.37,0.033178122900374696,-0.08533304738277225,-0.03866380011219661,-0.08533304738277225,0.038273320440210146,0.1473596608612917,-0.03866380011219661,0.038273320440210146,0.1323200115753709
