t,d01_err,d02_err,d12_err,o_error,o_error_deg
3.38,0.4180,0.7142,0.8000,1.1180,26.57
3.40,0.4180,0.7142,0.8000,1.1180,26.57
3.42,0.4180,0.7142,0.8000,1.1180,26.57
3.44,0.4180,0.7142,0.8000,1.1180,26.57
3.46,0.4180,0.7142,0.8000,1.1180,26.57
3.48,0.4180,0.7142,0.8000,1.1180,26.57
3.50,0.4180,0.7142,0.8000,1.1180,26.57
3.52,0.4180,0.7142,0.8000,1.1180,26.57
3.54,0.4180,0.7142,0.8000,1.1180,26.57
3.56,0.4180,0.7142,0.8000,1.1180,26.57
3.58,0.4180,0.7142,0.8000,1.1180,26.57
3.60,0.4180,0.7142,0.8000,1.1180,26.57
3.62,0.4180,0.7142,0.8000,1.1180,26.57
3.64,0.4180,0.7142,0.8000,1.1180,26.57
3.66,0.4180,0.7142,0.8000,1.1180,26.57
3.68,0.4180,0.7142,0.8000,1.1180,26.57
3.70,0.4180,0.7142,0.8000,1.1180,26.57
3.72,0.4180,0.7142,0.8000,1.1180,26.57
3.74,0.4180,0.7142,0.8000,1.1180,26.57
3.76,0.4180,0.7142,0.8000,1.1180,26.57
3.78,0.4180,0.7142,0.8000,1.1180,26.57
3.80,0.4180,0.7142,0.8000,1.1180,26.57
3.82,0.4180,0.7142,0.8000,1.1180,26.57
3.84,0.4180,0.7142,0.8000,1.1180,26.57
3.86,0.4180,0.7142,0.8000,1.1180,26.57
3.88,0.4180,0.7142,0.8000,1.1180,26.57
3.90,0.4180,0.7142,0.8000,1.1180,26.57
3.92,0.4180,0.7142,0.8000,1.1180,26.57
3.94,0.4180,0.7142,0.8000,1.1180,26.57
3.96,0.4180,0.7142,0.8000,1.1180,26.57
3.98,0.4180,0.7142,0.8000,1.1180,26.57
4.00,0.4180,0.7142,0.8000,1.1180,26.57
4.02,0.4180,0.7142,0.8000,1.1180,26.57
4.04,0.4180,0.7142,0.8000,1.1180,26.57
4.06,0.4180,0.7142,0.8000,1.1180,26.57
4.08,0.4180,0.7142,0.8000,1.1180,26.57
4.10,0.4180,0.7142,0.8000,1.1180,26.57
4.12,0.4180,0.7142,0.8000,1.1180,26.57
4.14,0.4180,0.7142,0.8000,1.1180,26.57
4.16,0.4180,0.7142,0.8000,1.1180,26.57
4.18,0.4180,0.7142,0.8000,1.1180,26.57
4.20,0.4180,0.7142,0.8000,1.1180,26.57
4.22,0.4180,0.7142,0.8000,1.1180,26.57
