t,freq,d21_err,d23_err,d24_err,d32_err,d34_err,d41_err,d42_err,d43_err,o_error
0.021,1119.17,0.8284271247461903,1.8284271247461903,0.9262776601683793,1.8284271247461903,1.1622776601683795,4.0990195135927845,0.9262776601683793,1.1622776601683795,2.0
0.041,949.04,0.8287100143933954,1.8282149583950296,0.9259931224661586,1.8282149583950296,1.162056264158108,4.098980176622422,0.9259931224661586,1.162056264158108,2.0002000431901847
0.061,1043.88,0.8294170734510611,1.8274371831063116,0.9247915139740042,1.8274371831063116,1.161329099145079,4.098588276718293,0.9247915139740042,1.161329099145079,2.0007999843267625
0.081,1021.76,0.830831406078214,1.826023040832014,0.9224197167239154,1.826023040832014,1.1600009679193044,4.097607846765824,0.9224197167239154,1.1600009679193044,2.0021004129641935
0.101,986.68,0.8321750211607406,1.8246797104107126,0.9202379799564326,1.8246797104107126,1.1588627851625124,4.096902588979493,0.9202379799564326,1.1588627851625124,2.003400988284522
0.121,1011.09,0.8340843331607757,1.8227706876925391,0.9171707001697205,1.8227706876925391,1.1570925019176523,4.0958056369703515,0.9171707001697205,1.1570925019176523,2.0051021088106484
0.141,996.16,0.8354280219122807,1.8214982031618518,0.9151788208423901,1.8214982031618518,1.1559861164165746,4.0951986432159115,0.9151788208423901,1.1559861164165746,2.0063032021461686
0.161,999.7,0.8376205393624323,1.8193065372351342,0.9114161506094969,1.8193065372351342,1.1538055723481242,4.09378943942374,0.9114161506094969,1.1538055723481242,2.008205666857689
0.181,965.51,0.8411569946467483,1.8158428623687128,0.9059783460516133,1.8158428623687128,1.1506772026797276,4.091931822296512,0.9059783460516133,1.1506772026797276,2.0114108122915577
0.2,1062.62,0.8453305431187359,1.8115310068767165,0.8993393588041121,1.8115310068767165,1.1468230257400496,4.089685106382228,0.8993393588041121,1.1468230257400496,2.0152186789027877
0.221,1053.25,0.8497167019571448,1.8071490621275594,0.8921004016869944,1.8071490621275594,1.1426545626529134,4.08710914019427,0.8921004016869944,1.1426545626529134,2.0191299139672694
0.241,1250.49,0.8547398891766949,1.8021313392444864,0.8841664447159605,1.8021313392444864,1.1378875185993542,4.084243978128746,0.8841664447159605,1.1378875185993542,2.023546342757495
0.261,1148.09,0.8601881426027105,1.7965483658697377,0.8756647258184338,1.7965483658697377,1.1327106697885592,4.081325378987556,0.8756647258184338,1.1327106697885592,2.0283679737181215
0.28,1164.13,0.8668389652527972,1.7900475075202662,0.8660576814690124,1.7900475075202662,1.1267771581487906,4.07834004607201,0.8660576814690124,1.1267771581487906,2.0340023263218616
