t,freq,d21_err,d23_err,d24_err,d32_err,d34_err,d41_err,d42_err,d43_err,o_error
0.021,624.29,0.8284977637463427,1.8283564032185877,0.926182889345843,1.8283564032185877,1.1621828893458432,4.099039129403812,0.926182889345843,1.1621828893458432,2.000000002494872
0.041,1027.78,0.8288512906296037,1.8280027902753826,0.9257717255072286,1.8280027902753826,1.1619298852672681,4.098902053041979,0.9257717255072286,1.1619298852672681,2.0002999530587244
0.06,1227.84,0.8303363990627135,1.8265179789216952,0.9233051483995838,1.8265179789216952,1.160443740572354,4.098039366237844,0.9233051483995838,1.160443740572354,2.0016003293773186
0.081,1017.57,0.8317506372681196,1.8251038267005195,0.9210283996973829,1.8251038267005195,1.1592738838481154,4.0972358464487195,0.9210283996973829,1.1592738838481154,2.003000742334467
0.1,1039.94,0.8346501934263073,1.8222050742379956,0.9162855860443577,1.8222050742379956,1.15658693554481,4.095492266682041,0.9162855860443577,1.15658693554481,2.005602528522787
0.12,1062.12,0.8378329785607299,1.8190238596416233,0.9111316988046267,1.8190238596416233,1.153615720014162,4.09380918532969,0.9111316988046267,1.153615720014162,2.008505834991439
0.14,1050.49,0.8416522281161645,1.8152065350564008,0.9049664105576256,1.8152065350564008,1.150140442316801,4.091501034614845,0.9049664105576256,1.150140442316801,2.0119114394971116
0.161,1487.03,0.8449768496766508,1.812025948392951,0.8996237421039983,1.812025948392951,1.1470764123875057,4.089567079212578,0.8996237421039983,1.1470764123875057,2.0148184257964763
0.18,1043.33,0.8504237560599996,1.8065836606970027,0.8913100378244301,1.8065836606970027,1.1421493170530228,4.086836952610526,0.8913100378244301,1.1421493170530228,2.019632655245418
0.2,1020.51,0.8562963093910922,1.8007182300405962,0.8822069117327587,1.8007182300405962,1.1368450436846205,4.083876980046678,0.8822069117327587,1.1368450436846205,2.024852699069096
0.22,1103.58,0.8623813189715097,1.7943574529944364,0.872472507596024,1.7943574529944364,1.1305640406788742,4.08031702467415,0.872472507596024,1.1305640406788742,2.0301790203994154
0.24,1114.15,0.8693855758703846,1.787715336064061,0.8622974648274466,1.787715336064061,1.124411566549659,4.077003170628674,0.8622974648274466,1.124411566549659,2.036018979643027
0.26,924.06,0.877876995151496,1.779024236754823,0.8502293564351122,1.779024236754823,1.1168706324774367,4.073350244901979,0.8502293564351122,1.1168706324774367,2.0432758820917765
0.281,1120.73,0.8871462646196622,1.7699810291328824,0.8378189305084494,1.7699810291328824,1.109429720445088,4.069475147208183,0.8378189305084494,1.109429720445088,2.050954307540228
0.3,985.07,0.896698437883789,1.7602286169797612,0.8254786644348715,1.7602286169797612,1.1016422081495785,4.065667240938723,0.8254786644348715,1.1016422081495785,2.058752491984822
0.32,1069.73,0.9069576445670546,1.7494861571934779,0.8132431478895876,1.7494861571934779,1.0938515623179117,4.062162768518902,0.8132431478895876,1.0938515623179117,2.066979026785846
0.34,1090.6,0.9178523319101153,1.7381106049242403,0.7994393992563156,1.7381106049242403,1.0856947765962337,4.057404367403733,0.7994393992563156,1.0856947765962337,2.075538942725318
0.361,942.7,0.9267633086578786,1.7284265176291873,0.7883225700256049,1.7284265176291873,1.0784798622064264,4.053228374947254,0.7883225700256049,1.0784798622064264,2.0821967677087567
0.38,975.59,0.937091062268613,1.7170502249044715,0.7751053197882927,1.7170502249044715,1.0705772732533951,4.048386363356477,0.7751053197882927,1.0705772732533951,2.09019235417
0.401,1109.56,0.9443051383993293,1.7087787037143891,0.7661730679424164,1.7087787037143891,1.0644027489612755,4.0451453938822395,0.7661730679424164,1.0644027489612755,2.0956462017302613
0.42,1210.35,0.9544232442833538,1.6969037211920126,0.7529098467277704,1.6969037211920126,1.0557124920452337,4.040116630621764,0.7529098467277704,1.0557124920452337,2.1037624694422954
0.441,886.89,0.9663088107625049,1.6826937255768226,0.7372720599714313,1.6826937255768226,1.0453580577514168,4.033968941694915,0.7372720599714313,1.0453580577514168,2.1131464493869747
0.46,922.31,0.9772047357420188,1.6694025606588836,0.7228395158552496,1.6694025606588836,1.035604911631156,4.028268121168077,0.7228395158552496,1.035604911631156,2.121826599028424
0.48,1040.11,0.9876065004163146,1.656393258844787,0.7095221006035732,1.656393258844787,1.0262210051054703,4.023270833539622,0.7095221006035732,1.0262210051054703,2.130209629760152
0.5,1013.35,0.9985754382351688,1.6423928988016856,0.6937705162630872,1.6423928988016856,1.0155728848439094,4.016279331503724,0.6937705162630872,1.0155728848439094,2.139124782659765
0.52,1012.24,1.0094022123562785,1.6285329081935367,0.6791965650105438,1.6285329081935367,1.0052939229931952,4.010252027511666,0.6791965650105438,1.0052939229931952,2.147859763659095
0.54,1048.99,1.0195946881579783,1.6147410684605883,0.6650124169956935,1.6147410684605883,0.9949168325467759,4.0041987545562385,0.6650124169956935,0.9949168325467759,2.156282003640989
0.56,1012.44,1.0290116774695561,1.602083688890183,0.6517806666897372,1.602083688890183,0.9857120095100416,3.998581959067833,0.6517806666897372,0.9857120095100416,2.1642809056075194
0.58,1004.5,1.0390624184156962,1.5887872965273049,0.6374363111305783,1.5887872965273049,0.9755465395369969,3.9921559941688143,0.6374363111305783,0.9755465395369969,2.1725332193134155
0.6,1022.35,1.049968996372049,1.5733686520304926,0.6218652513931175,1.5733686520304926,0.9640475205184971,3.9854245515284017,0.6218652513931175,0.9640475205184971,2.181905280133573
0.62,1054.74,1.0613648007413183,1.5576653338435786,0.6053537216228069,1.5576653338435786,0.9521642068961498,3.9777460615306044,0.6053537216228069,0.9521642068961498,2.1912448984951047
0.64,985.91,1.0724811048568652,1.5411839219496044,0.5891440928347098,1.5411839219496044,0.9396967283395838,3.970130376324139,0.5891440928347098,0.9396967283395838,2.2005772325658404
0.66,1096.89,1.0824576017584082,1.5264701883173233,0.5737464022139949,1.5264701883173233,0.9281322675232482,3.962354447588159,0.5737464022139949,0.9281322675232482,2.208516531746165
0.681,834.49,1.092435569625604,1.5109784299782203,0.5580867345326364,1.5109784299782203,0.915865152412823,3.9542743931142272,0.5580867345326364,0.915865152412823,2.2165644889683134
0.701,1245.91,1.1011396825162012,1.4971138535840431,0.5440147656296155,1.4971138535840431,0.9046658018468676,3.9467921574712985,0.5440147656296155,0.9046658018468676,2.2235708368275056
0.72,906.32,1.111469176384253,1.4797815314715304,0.5260662625814825,1.4797815314715304,0.890090071719825,3.9367858277800902,0.5260662625814825,0.890090071719825,2.2317795776266247
0.741,676.4,1.1205974318354621,1.4649272179739494,0.5104473196354977,1.4649272179739494,0.8774925527688713,3.9284239235704224,0.5104473196354977,0.8774925527688713,2.239135718291254
0.761,1064.33,1.1281670389894054,1.4521237679422359,0.4955888288741872,1.4521237679422359,0.8657171784850655,3.919664181981072,0.4955888288741872,0.8657171784850655,2.245134608407057
